Order,PID,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Condition_1,Condition_2,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod/Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,1st_Flr_SF,2nd_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,3Ssn_Porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Yr_Sold,Sale_Type,Sale_Condition,SalePrice,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Bldg_Type_2fmCon,Bldg_Type_Duplex,Bldg_Type_Twnhs,Bldg_Type_TwnhsE,Gr_Liv_Area_scaled,SalePrice_scaled,price_per_sqft,quality_area,SalePrice_log,house_age,age_group
11,527163010,60,RL,75.0,10000,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,763.0,763.0,GasA,Gd,Y,SBrkr,763,892,0,1655,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1993.0,Fin,2.0,440.0,TA,TA,Y,157,84,0,0,0,0,,,,0,4,2010,WD ,Normal,175900.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.30728651916312816,-0.053334458048895486,106.21980676328502,9930,12.077676615757813,32,Old
12,527165230,20,RL,68.0,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,0,,GdPrv,Shed,500,3,2010,WD ,Normal,185000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.618671254340516,0.06630539515781847,155.72390572390572,7122,12.128116509451258,33,Old
13,527166040,60,RL,63.0,8402,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,789.0,789.0,GasA,Gd,Y,SBrkr,789,676,0,1465,0.0,0.0,2,1,3,1,TA,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,393.0,TA,TA,Y,0,75,0,0,0,0,,,,0,5,2010,WD ,Normal,180400.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.06863650854134275,0.005828106723655372,123.05593451568895,8790,12.102937429832547,27,Mid
14,527180040,20,RL,85.0,10176,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,TA,PConc,Gd,TA,Gd,GLQ,637.0,Unf,0.0,663.0,1300.0,GasA,Gd,Y,SBrkr,1341,0,0,1341,1.0,0.0,1,1,2,1,Gd,5,Typ,1,Po,Attchd,1990.0,Unf,2.0,506.0,TA,TA,Y,192,0,0,0,0,0,,,,0,2,2010,WD ,Normal,171500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.3139757476747869,-0.1111822991598341,127.79433681073026,9387,12.052344376474922,35,Old
15,527182190,120,RL,68.0,6820,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,TA,PConc,Gd,TA,Av,GLQ,368.0,BLQ,1120.0,0.0,1488.0,GasA,TA,Y,SBrkr,1502,0,0,1502,1.0,0.0,1,1,1,1,Gd,4,Typ,0,,Attchd,1985.0,RFn,2.0,528.0,TA,TA,Y,0,54,0,0,140,0,,,,0,6,2010,WD ,Normal,212000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.004569554748475267,0.4212807837931236,141.05123087159015,12016,12.264346270624157,40,Old
16,527216070,60,RL,47.0,53504,Pave,IR2,HLS,AllPub,CulDSac,Mod,Norm,Norm,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,5,TA,PConc,Gd,TA,Gd,ALQ,1416.0,Unf,0.0,234.0,1650.0,GasA,Ex,Y,SBrkr,1690,1589,0,3279,1.0,0.0,3,1,4,1,Ex,12,Mod,1,Gd,BuiltIn,2003.0,Fin,3.0,841.0,TA,TA,Y,503,36,0,0,210,0,,,,0,6,2010,WD ,Normal,456666.3700000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3.520439134910816,3.63796744219088,139.22755182926832,26232,13.031710549280998,22,Mid
17,527225035,50,RL,152.0,12134,Pave,IR1,Bnk,AllPub,Inside,Mod,Norm,Norm,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,TA,Wood,Gd,TA,Av,GLQ,427.0,Unf,0.0,132.0,559.0,GasA,Gd,Y,SBrkr,1080,672,0,1752,0.0,0.0,2,0,4,1,TA,8,Typ,0,,Basment,1988.0,RFn,2.0,492.0,TA,TA,Y,325,12,0,0,0,0,,,,0,6,2010,WD ,Normal,164000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4992051175175159,-0.20978657378075222,93.55390758699373,14016,12.00762780434872,37,Old
18,527258010,20,RL,88.0,11394,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,4,TA,PConc,Ex,TA,Av,GLQ,1445.0,Unf,0.0,411.0,1856.0,GasA,Ex,Y,SBrkr,1856,0,0,1856,1.0,0.0,1,1,1,1,Ex,8,Typ,1,Ex,Attchd,2010.0,Fin,3.0,834.0,TA,TA,Y,113,0,0,0,0,0,,,,0,6,2010,New,Partial,394432.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7049735116294368,2.819757454145568,212.4028002154012,16704,12.885204569609956,15,Mid
19,527276150,20,RL,140.0,19138,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,TA,CBlock,TA,TA,No,LwQ,120.0,Unf,0.0,744.0,864.0,GasA,Ex,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1951.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2010,WD ,Normal,141000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.2577404014381164,-0.5121730159515677,163.0057803468208,3456,11.856522261533737,74,Old
20,527302110,20,RL,85.0,13175,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,3,TA,CBlock,Gd,TA,No,ALQ,790.0,Rec,163.0,589.0,1542.0,GasA,TA,Y,SBrkr,2073,0,0,2073,1.0,0.0,2,0,3,1,TA,7,Min1,2,TA,Attchd,1978.0,Unf,2.0,500.0,TA,TA,Y,349,0,0,0,0,0,,MnPrv,,0,2,2010,WD ,Normal,210000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1343171801129641,0.3949863105608788,101.25361620057859,12438,12.25486757159303,47,Old
21,527358140,20,RL,105.0,11751,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Ex,Y,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,0,122,0,0,0,0,,MnPrv,,0,1,2010,COD,Normal,190000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6812310046165229,0.13204157823843055,102.9810298102981,11064,12.154784614286667,48,Old
22,527358200,85,RL,85.0,10625,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,3,TA,CBlock,Gd,TA,Gd,GLQ,885.0,LwQ,168.0,0.0,1053.0,GasA,TA,Y,SBrkr,1173,0,0,1173,1.0,0.0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1974.0,RFn,2.0,528.0,TA,TA,Y,0,120,0,0,0,0,,MnPrv,,0,1,2010,WD ,Family,170000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6463708458555822,-0.13090315408401773,144.80408858603067,8211,12.04355959836804,51,Old
23,527368020,60,FV,68.0,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,TA,PConc,Gd,TA,No,GLQ,533.0,Unf,0.0,281.0,814.0,GasA,Ex,Y,SBrkr,814,860,0,1674,1.0,0.0,2,1,3,1,Gd,7,Typ,0,,Attchd,2000.0,RFn,2.0,663.0,TA,TA,Y,0,96,0,0,0,0,,,,0,1,2010,WD ,Normal,216000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.3448788219335752,0.4738697302576133,128.955223880597,11718,12.283038316285214,25,Mid
24,527402200,20,RL,68.0,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Ex,Y,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,0,0,0,0,0,0,,,Shed,700,3,2010,WD ,Normal,149000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.9807444862874537,-0.4069951230225884,148.25870646766168,6024,11.91170829631447,55,Old
25,527402250,20,RL,68.0,12537,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,TA,CBlock,TA,TA,No,GLQ,734.0,Unf,0.0,344.0,1078.0,GasA,Ex,Y,SBrkr,1078,0,0,1078,1.0,0.0,1,1,3,1,TA,6,Typ,1,Fa,Attchd,1971.0,Fin,2.0,500.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2010,WD ,Normal,149900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.8343323597078176,-0.39516261006807823,138.92493049119554,5390,11.917730355182513,54,Old
26,527403020,20,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,TA,CBlock,TA,TA,No,BLQ,775.0,Unf,0.0,281.0,1056.0,GasA,Ex,Y,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,6,Typ,1,Fa,Attchd,1968.0,Unf,1.0,304.0,TA,TA,Y,0,85,184,0,0,0,,,,0,7,2010,WD ,Normal,142000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.8778602892314933,-0.4990257793354453,134.34247871333963,5280,11.863589378812122,57,Old
27,527404120,20,RL,70.0,8400,Pave,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,3,TA,CBlock,TA,TA,No,ALQ,804.0,Rec,78.0,0.0,882.0,GasA,TA,Y,SBrkr,882,0,0,882,1.0,0.0,1,0,2,1,TA,4,Typ,0,,Attchd,1970.0,Fin,2.0,525.0,TA,TA,Y,240,0,0,0,0,0,,MnPrv,,0,4,2010,WD ,Normal,126000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.2221266409187455,-0.7093815651934039,142.69535673839184,3528,11.744045122410057,55,Old
28,527425090,20,RL,70.0,10500,Pave,Reg,Lvl,AllPub,FR2,Gtl,Norm,Norm,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,TA,CBlock,TA,TA,No,ALQ,432.0,Unf,0.0,432.0,864.0,GasA,TA,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,,,,0.0,0.0,,,Y,0,0,0,0,0,0,,,,0,4,2010,ConLI,Normal,115000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.2577404014381164,-0.8540011679707504,132.9479768786127,3456,11.652696102959753,54,Old
29,527427230,120,RH,26.0,5858,Pave,IR1,Lvl,AllPub,FR2,Gtl,Norm,Norm,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Ex,Y,SBrkr,1337,0,0,1337,1.0,0.0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,1999.0,Fin,2.0,511.0,TA,TA,Y,203,68,0,0,0,0,,,,0,6,2010,WD ,Normal,184000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.32188991667909156,0.05315815854169606,137.51868460388638,9359,12.122696471358964,26,Mid
30,527451180,160,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,3,TA,CBlock,TA,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,TA,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,TA,5,Typ,0,,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,275,0,0,0,0,0,,,,0,2,2010,COD,Normal,96000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1.0143797045557486,-1.1037986636770762,97.16599190283401,5922,11.472113887062386,54,Old
31,527451330,160,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,TA,6,Typ,0,,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2010,WD ,Normal,105500.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.8066327681927514,-0.9788999158239134,96.52333028362305,5460,11.566475710526321,54,Old
